"Classe","Arquivo"
"module-highlight-card","src\modules\template\simulation.js"
"module-highlight-card__index","src\modules\suspensao\content.js"
"module-highlight-card__index","src\modules\template\content.js"
"module-highlight-card__index","src\modules\template\index.js"
"module-highlight-card__index","src\modules\template\section\hero.js"
"module-highlight-card__index","src\modules\template\section\sintese.js"
"module-highlight-card__index","src\modules\template\simulation.js"
"module-highlight-card__text","src\modules\suspensao\content.js"
"module-highlight-card__text","src\modules\template\content.js"
"module-highlight-card__text","src\modules\template\index.js"
"module-highlight-card__text","src\modules\template\section\hero.js"
"module-highlight-card__text","src\modules\template\section\sintese.js"
"module-highlight-card__text","src\modules\template\simulation.js"
"module-highlight-card__title","src\modules\suspensao\content.js"
"module-highlight-card__title","src\modules\template\content.js"
"module-highlight-card__title","src\modules\template\index.js"
"module-highlight-card__title","src\modules\template\section\hero.js"
"module-highlight-card__title","src\modules\template\section\sintese.js"
"module-highlight-card__title","src\modules\template\simulation.js"
"module-page","src\app\views\module-view.js"
"module-page","src\modules\suspensao\content.js"
"module-page--suspensao","src\modules\suspensao\content.js"
"module-section","src\app\views\module-view.js"
"module-section","src\modules\frenagem\sections\estudo-caso.js"
"module-section","src\modules\frenagem\sections\frenometro.js"
"module-section","src\modules\frenagem\sections\fundamentos.js"
"module-section","src\modules\frenagem\sections\simulador.js"
"module-section","src\modules\gases\content.js"
"module-section","src\modules\opacidade\content.js"
"module-section","src\modules\produtos-perigosos\content.js"
"module-section","src\modules\suspensao\content.js"
"module-section","src\modules\template\content.js"
"module-section","src\modules\template\index.js"
"module-section","src\modules\template\section\fundamentos.js"
"module-section","src\modules\template\section\hero.js"
"module-section","src\modules\template\section\sintese.js"
"module-section","src\modules\template\simulation.js"
"module-section__container","src\modules\frenagem\sections\estudo-caso.js"
"module-section__container","src\modules\frenagem\sections\frenometro.js"
"module-section__container","src\modules\frenagem\sections\fundamentos.js"
"module-section__container","src\modules\frenagem\sections\simulador.js"
"module-section__description","src\modules\frenagem\sections\simulador.js"
"module-section__description","src\modules\suspensao\content.js"
"module-section__description","src\modules\template\section\fundamentos.js"
"module-section__eyebrow","src\modules\frenagem\sections\simulador.js"
"module-section__eyebrow","src\modules\suspensao\content.js"
"module-section__eyebrow","src\modules\template\section\fundamentos.js"
"module-section__header","src\modules\frenagem\sections\simulador.js"
"module-section__header","src\modules\suspensao\content.js"
"module-section__header","src\modules\template\section\fundamentos.js"
"module-section__title","src\modules\frenagem\sections\simulador.js"
"module-section__title","src\modules\suspensao\content.js"
"module-section__title","src\modules\template\section\fundamentos.js"
"operating-principle","src\modules\frenagem\sections\frenometro.js"
"operating-principle__diagram","src\modules\frenagem\sections\frenometro.js"
"operational-error","src\modules\frenagem\sections\frenometro.js"
"operational-error__consequence","src\modules\frenagem\sections\frenometro.js"
"operational-error__content","src\modules\frenagem\sections\frenometro.js"
"operational-error__header","src\modules\frenagem\sections\frenometro.js"
"operational-error__label","src\modules\frenagem\sections\frenometro.js"
"operational-error__number","src\modules\frenagem\sections\frenometro.js"
"operational-error__practice","src\modules\frenagem\sections\frenometro.js"
"operational-error__title","src\modules\frenagem\sections\frenometro.js"
"operational-errors","src\modules\frenagem\sections\frenometro.js"
"operational-errors__list","src\modules\frenagem\sections\frenometro.js"
"preliminary-inspection","src\modules\frenagem\sections\estudo-caso.js"
"primary","src\app\routing\route-renderer.js"
"primary","src\components\quiz.js"
"process-chain","src\modules\frenagem\sections\fundamentos.js"
"process-chain__content","src\modules\frenagem\sections\fundamentos.js"
"process-chain__description","src\modules\frenagem\sections\fundamentos.js"
"process-chain__item","src\modules\frenagem\sections\fundamentos.js"
"process-chain__marker","src\modules\frenagem\sections\fundamentos.js"
"process-chain__title","src\modules\frenagem\sections\fundamentos.js"
"process-flow","src\modules\suspensao\content.js"
"process-flow__index","src\modules\suspensao\content.js"
"process-flow__item","src\modules\suspensao\content.js"
"professional-challenge","src\modules\frenagem\sections\hero.js"
"professional-challenge__label","src\modules\frenagem\sections\hero.js"
"professional-challenge__question","src\modules\frenagem\sections\hero.js"
"professional-challenge__text","src\modules\frenagem\sections\hero.js"
"professional-challenge__title","src\modules\frenagem\sections\hero.js"
"professional-challenge__warning","src\modules\frenagem\sections\hero.js"
"professional-demand","src\modules\frenagem\sections\estudo-caso.js"
"professional-demand__label","src\modules\frenagem\sections\estudo-caso.js"
"professional-demand__objective","src\modules\frenagem\sections\estudo-caso.js"
"professional-demand__report","src\modules\frenagem\sections\estudo-caso.js"
"quick-cases","src\components\quick-cases.js"
"quiz-actions","src\components\quiz.js"
"quiz-feedback","src\components\quiz.js"
"quiz-form","src\components\quiz.js"
"quiz-option","src\components\quiz.js"
"quiz-question","src\components\quiz.js"
"quiz-result","src\components\quiz.js"
"range-row","src\components\range-control.js"
"range-row","src\components\section-header.js"
"reading-level","src\modules\frenagem\sections\frenometro.js"
"reading-level__description","src\modules\frenagem\sections\frenometro.js"
"reading-level__number","src\modules\frenagem\sections\frenometro.js"
"reading-level__title","src\modules\frenagem\sections\frenometro.js"
"reference-card","src\app\views\references-view.js"
"reference-group","src\app\views\references-view.js"
"reference-list","src\app\views\references-view.js"
"result-reading","src\modules\frenagem\sections\frenometro.js"
"result-reading__sequence","src\modules\frenagem\sections\frenometro.js"
"route-view","src\app\composition\application-composition.js"
"safety-rule","src\modules\frenagem\sections\frenometro.js"
"safety-rule__marker","src\modules\frenagem\sections\frenometro.js"
"safety-rule__text","src\modules\frenagem\sections\frenometro.js"
"secondary","src\components\chart-panel.js"
"secondary","src\components\quick-cases.js"
"secondary","src\components\quiz.js"
"section-heading","src\modules\frenagem\sections\estudo-caso.js"
"section-heading","src\modules\frenagem\sections\frenometro.js"
"section-heading","src\modules\frenagem\sections\fundamentos.js"
"section-heading__description","src\modules\frenagem\sections\estudo-caso.js"
"section-heading__description","src\modules\frenagem\sections\frenometro.js"
"section-heading__description","src\modules\frenagem\sections\fundamentos.js"
"section-heading__eyebrow","src\modules\frenagem\sections\estudo-caso.js"
"section-heading__eyebrow","src\modules\frenagem\sections\frenometro.js"
"section-heading__eyebrow","src\modules\frenagem\sections\fundamentos.js"
"section-heading__lead","src\modules\frenagem\sections\estudo-caso.js"
"section-heading__lead","src\modules\frenagem\sections\frenometro.js"
"section-heading__lead","src\modules\frenagem\sections\fundamentos.js"
"section-heading__title","src\modules\frenagem\sections\estudo-caso.js"
"section-heading__title","src\modules\frenagem\sections\frenometro.js"
"section-heading__title","src\modules\frenagem\sections\fundamentos.js"
"section-heading--case","src\modules\frenagem\sections\estudo-caso.js"
"section-heading--equipment","src\modules\frenagem\sections\frenometro.js"
"section-heading--investigation","src\modules\frenagem\sections\fundamentos.js"
"section-nav","src\app\views\module-view.js"
"section-nav__button","src\app\views\module-view.js"
"section-navigation__link","src\app\navigation\section-navigation.js"
"section-transition","src\modules\frenagem\sections\estudo-caso.js"
"section-transition","src\modules\frenagem\sections\frenometro.js"
"section-transition","src\modules\frenagem\sections\fundamentos.js"
"section-transition__action","src\modules\frenagem\sections\estudo-caso.js"
"section-transition__action","src\modules\frenagem\sections\frenometro.js"
"section-transition__action","src\modules\frenagem\sections\fundamentos.js"
"section-transition__content","src\modules\frenagem\sections\estudo-caso.js"
"section-transition__content","src\modules\frenagem\sections\frenometro.js"
"section-transition__content","src\modules\frenagem\sections\fundamentos.js"
"section-transition__description","src\modules\frenagem\sections\estudo-caso.js"
"section-transition__description","src\modules\frenagem\sections\frenometro.js"
"section-transition__description","src\modules\frenagem\sections\fundamentos.js"
"section-transition__label","src\modules\frenagem\sections\estudo-caso.js"
"section-transition__label","src\modules\frenagem\sections\frenometro.js"
"section-transition__label","src\modules\frenagem\sections\fundamentos.js"
"section-transition__title","src\modules\frenagem\sections\estudo-caso.js"
"section-transition__title","src\modules\frenagem\sections\frenometro.js"
"section-transition__title","src\modules\frenagem\sections\fundamentos.js"
"simulation-controls","src\modules\gases\content.js"
"simulation-controls","src\modules\opacidade\content.js"
"simulation-controls","src\modules\produtos-perigosos\content.js"
"simulation-layout","src\modules\gases\content.js"
"simulation-layout","src\modules\opacidade\content.js"
"simulation-layout","src\modules\produtos-perigosos\content.js"
"simulation-status","src\modules\suspensao\content.js"
"sr-only","src\modules\frenagem\sections\hero.js"
"startup-error","src\main.js"
"status-badge","src\modules\frenagem\sections\hero.js"
"status-badge--pending","src\modules\frenagem\sections\hero.js"
"status-chip","src\components\app-header.js"
"status-panel","src\modules\gases\content.js"
"status-panel","src\modules\gases\simulation.js"
"status-panel","src\modules\opacidade\content.js"
"status-panel","src\modules\opacidade\simulation.js"
"status-panel","src\modules\produtos-perigosos\content.js"
"status-panel","src\modules\produtos-perigosos\simulation.js"
"status-panel","src\modules\suspensao\dynamics.js"
"status-panel","src\modules\suspensao\simulation.js"
"sticky-visual","src\components\chart-panel.js"
"suspension-bar","src\modules\suspensao\simulation.js"
"svg-axis","src\modules\gases\simulation.js"
"svg-axis","src\modules\opacidade\simulation.js"
"svg-axis","src\modules\produtos-perigosos\simulation.js"
"svg-axis","src\modules\suspensao\simulation.js"
"svg-grid","src\modules\gases\simulation.js"
"svg-grid","src\modules\opacidade\simulation.js"
"svg-grid","src\modules\produtos-perigosos\simulation.js"
"svg-grid","src\modules\suspensao\simulation.js"
"svg-text","src\modules\gases\simulation.js"
"svg-text","src\modules\opacidade\simulation.js"
"svg-text","src\modules\produtos-perigosos\simulation.js"
"svg-text","src\modules\suspensao\simulation.js"
"table","src\modules\suspensao\content.js"
"table--compact","src\modules\suspensao\content.js"
"table-wrapper","src\modules\suspensao\content.js"
"technical-boundary","src\modules\frenagem\sections\estudo-caso.js"
"technical-boundary__label","src\modules\frenagem\sections\estudo-caso.js"
"technical-boundary__text","src\modules\frenagem\sections\estudo-caso.js"
"technical-decision","src\modules\frenagem\sections\estudo-caso.js"
"technical-decision__content","src\modules\frenagem\sections\estudo-caso.js"
"technical-decision__control","src\modules\frenagem\sections\estudo-caso.js"
"technical-decision__description","src\modules\frenagem\sections\estudo-caso.js"
"technical-decision__title","src\modules\frenagem\sections\estudo-caso.js"
"technical-decision-fieldset","src\modules\frenagem\sections\estudo-caso.js"
"technical-decision-grid","src\modules\frenagem\sections\estudo-caso.js"
"technical-decision-section","src\modules\frenagem\sections\estudo-caso.js"
"technical-diagram","src\modules\suspensao\content.js"
"technical-diagram__svg","src\modules\suspensao\content.js"
"technical-hypotheses","src\modules\frenagem\sections\estudo-caso.js"
"technical-justification","src\modules\frenagem\sections\estudo-caso.js"
"technical-justification__counter","src\modules\frenagem\sections\estudo-caso.js"
"technical-justification__label","src\modules\frenagem\sections\estudo-caso.js"
"technical-note","src\modules\frenagem\sections\frenometro.js"
"technical-note__content","src\modules\frenagem\sections\frenometro.js"
"technical-note__marker","src\modules\frenagem\sections\frenometro.js"
"technical-note__text","src\modules\frenagem\sections\frenometro.js"
"technical-note__title","src\modules\frenagem\sections\frenometro.js"
"technical-premise","src\modules\frenagem\sections\fundamentos.js"
"technical-premise__content","src\modules\frenagem\sections\fundamentos.js"
"technical-premise__formula","src\modules\frenagem\sections\fundamentos.js"
"technical-premise__insight","src\modules\frenagem\sections\fundamentos.js"
"technical-premise__label","src\modules\frenagem\sections\fundamentos.js"
"technical-premise__text","src\modules\frenagem\sections\fundamentos.js"
"technical-premise__title","src\modules\frenagem\sections\fundamentos.js"
"technical-report-example","src\modules\suspensao\content.js"
"test-procedure","src\modules\frenagem\sections\frenometro.js"
"test-procedure__steps","src\modules\frenagem\sections\frenometro.js"
"test-step","src\modules\frenagem\sections\frenometro.js"
"test-step__content","src\modules\frenagem\sections\frenometro.js"
"test-step__description","src\modules\frenagem\sections\frenometro.js"
"test-step__evidence","src\modules\frenagem\sections\frenometro.js"
"test-step__evidence-label","src\modules\frenagem\sections\frenometro.js"
"test-step__marker","src\modules\frenagem\sections\frenometro.js"
"test-step__title","src\modules\frenagem\sections\frenometro.js"
"test-validity","src\modules\frenagem\sections\frenometro.js"
"test-validity__grid","src\modules\frenagem\sections\frenometro.js"
"toast","src\components\toast.js"
"validity-condition","src\modules\frenagem\sections\frenometro.js"
"validity-condition__label","src\modules\frenagem\sections\frenometro.js"
"validity-condition__state","src\modules\frenagem\sections\frenometro.js"
"validity-condition__state--risk","src\modules\frenagem\sections\frenometro.js"
"validity-condition__state--valid","src\modules\frenagem\sections\frenometro.js"
"validity-condition__title","src\modules\frenagem\sections\frenometro.js"
"vehicle-top-view","src\modules\suspensao\content.js"
"vehicle-top-view__body","src\modules\suspensao\content.js"
"vehicle-top-view__cabin","src\modules\suspensao\content.js"
"vehicle-top-view__front-label","src\modules\suspensao\content.js"
"vehicle-top-view__legend","src\modules\suspensao\content.js"
"vehicle-top-view__rear-window","src\modules\suspensao\content.js"
"vehicle-top-view__roof","src\modules\suspensao\content.js"
"vehicle-top-view__windshield","src\modules\suspensao\content.js"
"vehicle-wheel","src\modules\suspensao\content.js"
"vehicle-wheel__code","src\modules\suspensao\content.js"
"vehicle-wheel__label","src\modules\suspensao\content.js"
"vehicle-wheel__value","src\modules\suspensao\content.js"
"vehicle-wheel--fl","src\modules\suspensao\content.js"
"vehicle-wheel--fr","src\modules\suspensao\content.js"
"vehicle-wheel--rl","src\modules\suspensao\content.js"
"vehicle-wheel--rr","src\modules\suspensao\content.js"
"visually-hidden","src\modules\frenagem\sections\estudo-caso.js"
"wheel-reading","src\modules\frenagem\sections\estudo-caso.js"
"wheel-reading__bar","src\modules\frenagem\sections\estudo-caso.js"
"wheel-reading__header","src\modules\frenagem\sections\estudo-caso.js"
"wheel-reading__track","src\modules\frenagem\sections\estudo-caso.js"
