"Classe","Arquivo"
"case-data__item","src\modules\frenagem\sections\estudo-caso.js"
"case-data__term","src\modules\frenagem\sections\estudo-caso.js"
"case-feedback","src\modules\frenagem\sections\estudo-caso.js"
"case-note","src\modules\frenagem\sections\estudo-caso.js"
"case-note__marker","src\modules\frenagem\sections\estudo-caso.js"
"case-note__text","src\modules\frenagem\sections\estudo-caso.js"
"case-note__title","src\modules\frenagem\sections\estudo-caso.js"
"case-readings","src\modules\frenagem\sections\frenometro.js"
"case-readings__context","src\modules\frenagem\sections\frenometro.js"
"case-readings__header","src\modules\frenagem\sections\frenometro.js"
"case-readings__label","src\modules\frenagem\sections\frenometro.js"
"case-readings__question-list","src\modules\frenagem\sections\frenometro.js"
"case-readings__questions","src\modules\frenagem\sections\frenometro.js"
"case-readings__questions-title","src\modules\frenagem\sections\frenometro.js"
"case-readings__title","src\modules\frenagem\sections\frenometro.js"
"case-readings__warning","src\modules\frenagem\sections\frenometro.js"
"case-readings__warning-marker","src\modules\frenagem\sections\frenometro.js"
"case-readings__warning-text","src\modules\frenagem\sections\frenometro.js"
"case-readings__warning-title","src\modules\frenagem\sections\frenometro.js"
"case-readings-table","src\modules\frenagem\sections\frenometro.js"
"case-readings-table__position","src\modules\frenagem\sections\frenometro.js"
"case-readings-table__row","src\modules\frenagem\sections\frenometro.js"
"case-readings-table__status","src\modules\frenagem\sections\frenometro.js"
"case-readings-table__value","src\modules\frenagem\sections\frenometro.js"
"case-readings-table-wrapper","src\modules\frenagem\sections\frenometro.js"
"case-return","src\modules\frenagem\sections\fundamentos.js"
"case-return__answer","src\modules\frenagem\sections\fundamentos.js"
"case-return__header","src\modules\frenagem\sections\fundamentos.js"
"case-return__label","src\modules\frenagem\sections\fundamentos.js"
"case-return__title","src\modules\frenagem\sections\fundamentos.js"
"case-study-section","src\modules\frenagem\sections\estudo-caso.js"
"chart-frame","src\modules\suspensao\content.js"
"chart-frame__svg","src\modules\suspensao\content.js"
"chart-panel","src\components\chart-panel.js"
"chart-toolbar","src\components\chart-panel.js"
"check-list","src\modules\suspensao\content.js"
"check-list--warning","src\modules\suspensao\content.js"
"comparison-bars","src\modules\suspensao\content.js"
"comparison-bars__fill","src\modules\suspensao\content.js"
"comparison-bars__header","src\modules\suspensao\content.js"
"comparison-bars__item","src\modules\suspensao\content.js"
"comparison-bars__track","src\modules\suspensao\content.js"
"complementary-evidence","src\modules\frenagem\sections\estudo-caso.js"
"complementary-evidence__button","src\modules\frenagem\sections\estudo-caso.js"
"complementary-evidence__category","src\modules\frenagem\sections\estudo-caso.js"
"complementary-evidence__content","src\modules\frenagem\sections\estudo-caso.js"
"complementary-evidence__header","src\modules\frenagem\sections\estudo-caso.js"
"complementary-evidence__interpretation","src\modules\frenagem\sections\estudo-caso.js"
"complementary-evidence__label","src\modules\frenagem\sections\estudo-caso.js"
"complementary-evidence__number","src\modules\frenagem\sections\estudo-caso.js"
"complementary-evidence__result","src\modules\frenagem\sections\estudo-caso.js"
"complementary-evidence__title","src\modules\frenagem\sections\estudo-caso.js"
"conceptual-calculations","src\modules\frenagem\sections\fundamentos.js"
"conceptual-calculations__grid","src\modules\frenagem\sections\fundamentos.js"
"content-card","src\modules\gases\content.js"
"content-card","src\modules\opacidade\content.js"
"content-card","src\modules\produtos-perigosos\content.js"
"content-card","src\modules\suspensao\content.js"
"content-card","src\modules\template\section\fundamentos.js"
"content-card__index","src\modules\suspensao\content.js"
"content-grid","src\modules\gases\content.js"
"content-grid","src\modules\opacidade\content.js"
"content-grid","src\modules\produtos-perigosos\content.js"
"content-grid","src\modules\suspensao\content.js"
"content-grid","src\modules\template\section\fundamentos.js"
"content-grid--2","src\modules\suspensao\content.js"
"content-grid--2","src\modules\template\section\fundamentos.js"
"content-grid--3","src\modules\suspensao\content.js"
"content-grid--3","src\modules\template\section\fundamentos.js"
"control-block","src\components\range-control.js"
"control-block","src\components\section-header.js"
"dashboard-grid","src\app\views\home-view.js"
"diagnostic-sequence","src\modules\suspensao\content.js"
"diagnostic-sequence__item","src\modules\suspensao\content.js"
"diagnostic-sequence__number","src\modules\suspensao\content.js"
"diagram-arrow","src\modules\suspensao\content.js"
"diagram-body","src\modules\suspensao\content.js"
"diagram-caption","src\modules\suspensao\content.js"
"diagram-component","src\modules\suspensao\content.js"
"diagram-hub","src\modules\suspensao\content.js"
"diagram-label","src\modules\suspensao\content.js"
"diagram-line","src\modules\suspensao\content.js"
"diagram-platform","src\modules\suspensao\content.js"
"diagram-wheel","src\modules\suspensao\content.js"
"dynamic-animation","src\modules\suspensao\content.js"
"dynamic-charts","src\modules\suspensao\content.js"
"dynamic-controls","src\modules\suspensao\content.js"
"dynamic-explanation","src\modules\suspensao\content.js"
"dynamic-lab","src\modules\suspensao\content.js"
"dynamic-lab__eyebrow","src\modules\suspensao\content.js"
"dynamic-lab__header","src\modules\suspensao\content.js"
"dynamic-lab__layout","src\modules\suspensao\content.js"
"dynamic-lab__title","src\modules\suspensao\content.js"
"dynamic-panel","src\modules\suspensao\content.js"
"dynamic-panel__header","src\modules\suspensao\content.js"
"dynamic-presets","src\modules\suspensao\content.js"
"dynamic-slider","src\modules\suspensao\content.js"
"dynamic-slider__header","src\modules\suspensao\content.js"
"emergency-note","src\modules\frenagem\sections\frenometro.js"
"emergency-note__label","src\modules\frenagem\sections\frenometro.js"
"emergency-note__text","src\modules\frenagem\sections\frenometro.js"
"energy-flow","src\modules\frenagem\sections\frenometro.js"
"energy-flow__connector","src\modules\frenagem\sections\frenometro.js"
"energy-flow__item","src\modules\frenagem\sections\frenometro.js"
"energy-flow__number","src\modules\frenagem\sections\frenometro.js"
"equipment-component","src\modules\frenagem\sections\frenometro.js"
"equipment-component__description","src\modules\frenagem\sections\frenometro.js"
"equipment-component__header","src\modules\frenagem\sections\frenometro.js"
"equipment-component__number","src\modules\frenagem\sections\frenometro.js"
"equipment-component__role","src\modules\frenagem\sections\frenometro.js"
"equipment-component__role-label","src\modules\frenagem\sections\frenometro.js"
"equipment-component__role-text","src\modules\frenagem\sections\frenometro.js"
"equipment-component__title","src\modules\frenagem\sections\frenometro.js"
"equipment-components","src\modules\frenagem\sections\frenometro.js"
"equipment-components__grid","src\modules\frenagem\sections\frenometro.js"
"equipment-purpose","src\modules\frenagem\sections\frenometro.js"
"equipment-purpose__content","src\modules\frenagem\sections\frenometro.js"
"equipment-purpose__label","src\modules\frenagem\sections\frenometro.js"
"equipment-purpose__statement","src\modules\frenagem\sections\frenometro.js"
"equipment-purpose__text","src\modules\frenagem\sections\frenometro.js"
"equipment-purpose__title","src\modules\frenagem\sections\frenometro.js"
"equipment-safety","src\modules\frenagem\sections\frenometro.js"
"equipment-safety__content","src\modules\frenagem\sections\frenometro.js"
"equipment-safety__rules","src\modules\frenagem\sections\frenometro.js"
"evidence-card","src\modules\frenagem\sections\hero.js"
"evidence-card__index","src\modules\frenagem\sections\hero.js"
"evidence-card__text","src\modules\frenagem\sections\hero.js"
"evidence-card__title","src\modules\frenagem\sections\hero.js"
"evidence-conclusion","src\modules\frenagem\sections\estudo-caso.js"
"evidence-conclusion__label","src\modules\frenagem\sections\estudo-caso.js"
"evidence-conclusion--open","src\modules\frenagem\sections\estudo-caso.js"
"evidence-conclusion--supported","src\modules\frenagem\sections\estudo-caso.js"
"evidence-interpretation","src\modules\frenagem\sections\fundamentos.js"
"evidence-matrix","src\modules\frenagem\sections\estudo-caso.js"
"evidence-matrix__grid","src\modules\frenagem\sections\estudo-caso.js"
"evidence-relation","src\modules\frenagem\sections\fundamentos.js"
"evidence-relation__caution","src\modules\frenagem\sections\fundamentos.js"
"evidence-relation__interpretation","src\modules\frenagem\sections\fundamentos.js"
"evidence-relation__title","src\modules\frenagem\sections\fundamentos.js"
"evidence-relations","src\modules\frenagem\sections\fundamentos.js"
"evidence-request","src\modules\frenagem\sections\estudo-caso.js"
"evidence-request__list","src\modules\frenagem\sections\estudo-caso.js"
"evidence-request__progress","src\modules\frenagem\sections\estudo-caso.js"
"eyebrow","src\app\views\cases-view.js"
"eyebrow","src\app\views\home-view.js"
"eyebrow","src\app\views\module-view.js"
"eyebrow","src\app\views\references-view.js"
